team,year,venue,lat,lon,matches,runs,fours,sixes,two_hundreds,ten_wickets,wickets,wins,toss_wins,abb
Delhi Capitals,2015,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,187,14,9,0,0,0,0,0,delhi
Delhi Capitals,2015,Ma Chidambaram Stadium,13.0626873,80.27922739309865,1,149,15,2,0,0,7,0,1,delhi
Delhi Capitals,2015,Maharashtra Cricket Association Stadium,18.6738164,73.7064113964208,1,169,17,5,0,0,7,1,0,delhi
Delhi Capitals,2015,Shaheed Veer Narayan Singh International Stadium,21.203402949999997,81.82302432017622,2,277,34,7,0,0,10,1,0,delhi
Delhi Capitals,2015,Wankhede Stadium,18.9385497,72.82574081674653,1,152,15,6,0,0,5,0,1,delhi
Delhi Capitals,2016,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,5,796,63,29,0,1,35,3,2,delhi
Delhi Capitals,2016,Eden Gardens,22.564561349999998,88.34424156337812,1,98,8,3,0,0,1,0,0,delhi
Delhi Capitals,2016,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,192,22,4,0,0,5,1,1,delhi
Delhi Capitals,2016,Punjab Cricket Association Stadium,30.6909,76.7375,1,172,13,5,0,0,5,0,1,delhi
Delhi Capitals,2016,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,1,150,12,7,0,0,8,1,1,delhi
Delhi Capitals,2016,Saurashtra Cricket Association Stadium,22.362785549999998,70.71008439911074,1,150,16,4,0,0,7,1,1,delhi
Delhi Capitals,2016,Shaheed Veer Narayan Singh International Stadium,21.203402949999997,81.82302432017622,2,299,23,6,0,0,11,1,1,delhi
Delhi Capitals,2017,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,7,1144,97,54,1,0,41,4,6,delhi
Delhi Capitals,2017,Eden Gardens,22.564561349999998,88.34424156337812,1,160,14,4,0,0,3,0,0,delhi
Delhi Capitals,2017,Green Park,51.5066192,-0.1429113,1,197,31,4,0,0,5,1,1,delhi
Delhi Capitals,2017,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,142,10,5,0,0,8,0,0,delhi
Delhi Capitals,2017,Maharashtra Cricket Association Stadium,18.6738164,73.7064113964208,1,205,17,10,1,1,10,1,0,delhi
Delhi Capitals,2017,Punjab Cricket Association Stadium,30.6909,76.7375,1,67,3,2,0,0,0,0,0,delhi
Delhi Capitals,2017,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,1,176,18,6,0,0,4,0,0,delhi
Delhi Capitals,2017,Wankhede Stadium,18.9385497,72.82574081674653,1,128,12,2,0,0,8,0,1,delhi
Delhi Capitals,2018,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,7,1258,98,66,1,1,44,4,3,delhi
